Date,Open,Close
02/03/20,5455.045898,5361.246094
03/03/20,5431.295898,5518.62793
04/03/20,5524.094238,5650.13623
05/03/20,5688.778809,5638.129883
06/03/20,5575.565918,5498.540039
09/03/20,5364.604004,5136.809082
10/03/20,5149.493164,5220.826172
11/03/20,5231.608887,5154.10498
12/03/20,5040.964844,4895.748047
13/03/20,4895.748047,4907.570801
16/03/20,4907.570801,4690.657227
17/03/20,4690.657227,4456.749023
18/03/20,4456.749023,4330.673828
19/03/20,4330.673828,4105.421875
20/03/20,4105.421875,4194.943848
23/03/20,4194.943848,3989.51709
24/03/20,3989.51709,3937.63208
26/03/20,3937.63208,4338.903809
27/03/20,4338.903809,4545.570801
30/03/20,4545.570801,4414.5
31/03/20,4414.5,4538.930176
01/04/20,4538.930176,4466.037109
02/04/20,4466.037109,4531.685059
03/04/20,4531.685059,4623.429199
06/04/20,4623.429199,4811.827148
07/04/20,4811.827148,4778.63916
08/04/20,4778.63916,4626.694824
09/04/20,4626.694824,4649.079102
13/04/20,4649.079102,4623.894043
14/04/20,4623.894043,4706.491211
15/04/20,4706.491211,4625.904785
16/04/20,4480.606934,4480.606934
17/04/20,4480.606934,4634.820801
20/04/20,4634.820801,4575.904785
21/04/20,4575.904785,4501.918945
22/04/20,4501.918945,4567.562012
23/04/20,4567.562012,4593.554199
24/04/20,4593.554199,4496.063965
27/04/20,4496.063965,4513.141113
28/04/20,4513.141113,4529.554199
29/04/20,4529.554199,4567.323242
30/04/20,4567.323242,4716.402832
04/05/20,4716.402832,4605.486816
05/05/20,4605.486816,4630.132813
06/05/20,4630.132813,4608.790039
08/05/20,4608.790039,4597.430176
11/05/20,4597.430176,4639.10498
12/05/20,4639.10498,4588.733887
13/05/20,4588.733887,4554.358887
14/05/20,4554.358887,4513.833984
15/05/20,4513.833984,4507.606934
18/05/20,4507.606934,4511.058105
19/05/20,4511.058105,4548.655762
20/05/20,4548.655762,4545.952148
26/05/20,4545.952148,4626.798828
27/05/20,4626.798828,4641.555176
28/05/20,4641.555176,4716.185059
29/05/20,4716.185059,4753.611816
02/06/20,4753.611816,4847.506836
03/06/20,4847.506836,4941.005859
04/06/20,4941.005859,4916.704102
05/06/20,4916.704102,4947.782227
08/06/20,4947.782227,5070.561035
09/06/20,5070.561035,5035.055176
10/06/20,5035.055176,4920.682129
11/06/20,4920.682129,4854.753906
12/06/20,4854.753906,4880.358887
15/06/20,4880.358887,4816.335938
16/06/20,4816.335938,4986.458008
17/06/20,4986.458008,4987.775879
18/06/20,4987.775879,4925.248047
19/06/20,4925.248047,4942.274902
22/06/20,4942.274902,4918.831055
23/06/20,4918.831055,4879.132813
24/06/20,4879.132813,4964.734863
25/06/20,4964.734863,4896.72998
26/06/20,4896.72998,4904.087891
29/06/20,4904.087891,4901.817871
30/06/20,4901.817871,4905.39209
01/07/20,4905.39209,4914.388184
02/07/20,4914.388184,4966.779785
03/07/20,4966.779785,4973.793945
06/07/20,4973.793945,4988.866211
07/07/20,4988.866211,4987.082031
08/07/20,4987.082031,5076.173828
